cluster	growth-rate	color
Hoyosella_altamirensis.fasta	Outgroup	Outgroup	black
M_abscessus_bolletii.fasta	M. abscessus-cholonae complex	Rapid	red
M_abscessus_massiliense.fasta	M. abscessus-cholonae complex	Rapid	red
M_abscessus.fasta	M. abscessus-cholonae complex	Rapid	red
M_immunogenum.fasta	M. abscessus-cholonae complex	Rapid	red
M_franklinii.fasta	M. abscessus-cholonae complex	Rapid	red
M_saopaulense.fasta	M. abscessus-cholonae complex	Rapid	red
M_salmoniphilum.fasta	M. abscessus-cholonae complex	Rapid	red
M_chelonae.fasta	M. abscessus-cholonae complex	Rapid	red
M_stephanolepidis.fasta	M. abscessus-cholonae complex	Rapid	red
M_smegmatis.fasta	M. fortuitum-smegmatis group	Rapid	orange
M_goodii.fasta	M. fortuitum-smegmatis group	Rapid	orange
M_wolinskyi.fasta	M. fortuitum-smegmatis group	Rapid	orange
M_mageritense.fasta	M. fortuitum-smegmatis group	Rapid	orange
M_brisbanense.fasta	M. fortuitum-smegmatis group	Rapid	orange
M_aquaticum.fasta	M. fortuitum-smegmatis group	Rapid	orange
M_houstonense.fasta	M. fortuitum-smegmatis group	Rapid	orange
M_setense.fasta	M. fortuitum-smegmatis group	Rapid	orange
M_peregrinum.fasta	M. fortuitum-smegmatis group	Rapid	orange
M_fortuitum_fortuitum.fasta	M. fortuitum-smegmatis group	Rapid	orange
M_senegalense.fasta	M. fortuitum-smegmatis group	Rapid	orange
M_conceptionense.fasta	M. fortuitum-smegmatis group	Rapid	orange
M_farcinogenes.fasta	M. fortuitum-smegmatis group	Rapid	orange
M_septicum.fasta	M. fortuitum-smegmatis group	Rapid	orange
M_neworleansense.fasta	M. fortuitum-smegmatis group	Rapid	orange
M_porcinum.fasta	M. fortuitum-smegmatis group	Rapid	orange
M_hodleri.fasta	Special	Rapid	pink
M_boenickei.fasta	Special	Rapid	pink
M_nonchromogenicus.fasta	M. terrae	Slow	springgreen3
M_heraklionensis.fasta	M. terrae	Slow	springgreen3
M_longobardus.fasta	M. terrae	Slow	springgreen3
M_hiberniae.fasta	M. terrae	Slow	springgreen3
M_engbaekii.fasta	M. terrae	Slow	springgreen3
M_minnesotensis.fasta	M. terrae	Slow	springgreen3
M_arupensis.fasta	M. terrae	Slow	springgreen3
M_terrae.fasta	M. terrae	Slow	springgreen3
M_kumamotonensis.fasta	M. terrae	Slow	springgreen3
M_senuensis.fasta	M. terrae	Slow	springgreen3
M_algericus.fasta	M. terrae	Slow	springgreen3
M_celatum.fasta	M. celatum group	Slow	gold1
M_branderi.fasta	M. celatum group	Slow	gold1
M_kyorinense.fasta	M. celatum group	Slow	gold1
M_fragae.fasta	M. celatum group	Slow	gold1
M_shimoidei.fasta	M. celatum group	Slow	gold1
M_noviomagense.fasta	M. xenopi group	Slow	purple
M_heckeshornense.fasta	M. xenopi group	Slow	purple
M_xenopi.fasta	M. xenopi group	Slow	purple
M_ulcerans.fasta	pathogens group	Slow	deepskyblue
M_pseudoshottsii.fasta	pathogens group	Slow	deepskyblue
M_marinum_Europe.fasta	pathogens group	Slow	deepskyblue
M_intermedium.fasta	pathogens group	Slow	deepskyblue
M_gordonae.fasta	pathogens group	Slow	deepskyblue
M_asiaticum.fasta	pathogens group	Slow	deepskyblue
M_kubicae.fasta	pathogens group	Slow	deepskyblue
M_shinjukuense.fasta	pathogens group	Slow	deepskyblue
M_lacus.fasta	pathogens group	Slow	deepskyblue
M_tuberculosis.fasta	pathogens group	Slow	deepskyblue
M_decipiens.fasta	pathogens group	Slow	deepskyblue
M_riyadhense.fasta	pathogens group	Slow	deepskyblue
M_szulgai.fasta	pathogens group	Slow	deepskyblue
M_angelicum.fasta	pathogens group	Slow	deepskyblue
